source	target
FGFR4	PDGFRA
FLT1	PDGFRA
FLT4	PDGFRA
FYN	PDGFRA
GATA1	PDGFRA
GNAS	PDGFRA
HGF	PDGFRA
HMGB1	PDGFRA
HRAS	PDGFRA
IGF1R	PDGFRA
INSR	PDGFRA
JUN	PDGFRA
KDR	PDGFRA
KIT	PDGFRA
LCK	PDGFRA
LYN	PDGFRA
MYC	PDGFRA
NTRK1	PDGFRA
DDR2	PDGFRA
PDGFB	PDGFRA
ABI1	PDGFRA
ABL1	IGF1R
AKT1	IGF1R
DYRK1A	IGF1R
EGFR	IGF1R
EPHB1	IGF1R
PTK2B	IGF1R
HLA-A	IGF1R
HLA-B	IGF1R
HLA-DRB1	IGF1R
ABL1	CALR
AKT1	CALR
ANGPT1	CALR
RHOB	CALR
BMP7	CALR
BMPR2	CALR
COL1A1	CALR
DDX3X	CALR
DDX6	CALR
EIF5A	CALR
EPRS1	CALR
ETS1	CALR
EZH2	CALR
PTK2B	CALR
FGF2	CALR
FLNA	CALR
FLT4	CALR
GATA3	CALR
KDR	CALR
MDM2	CALR
PIK3CG	CALR
PRKD1	CALR
RAC1	CALR
RRAS	CALR
RREB1	CALR
SIX1	CALR
THBS1	CALR
TSC1	CALR
XPA	CALR
XPO1	CALR
YWHAE	CALR
BTG2	CALR
NUP214	CALR
TOB1	CALR
SYNCRIP	CALR
ABL1	RREB1
FLNA	RREB1
MTOR	RREB1
PLCG1	RREB1
RAC1	RREB1
ABL1	CCKBR
ABL2	CCKBR
FPR1	CCKBR
HMGB1	CCKBR
CXCR2	CCKBR
PDGFRA	CCKBR
ABL1	HRAS
ABL2	HRAS
ADRA1A	HRAS
ADRB3	HRAS
APC	HRAS
CDKN1A	HRAS
CDKN1B	HRAS
CDKN2A	HRAS
CDKN2B	HRAS
CDKN2C	HRAS
DDIT3	HRAS
GSDME	HRAS
DNMT1	HRAS
ECT2	HRAS
EGFR	HRAS
ERBB2	HRAS
EZH2	HRAS
PTK2B	HRAS
FES	HRAS
FGF2	HRAS
FGFR1	HRAS
FGFR3	HRAS
FGFR2	HRAS
FLT1	HRAS
FLT4	HRAS
RAPGEF1	HRAS
HLA-DRB1	HRAS
HMGB1	HRAS
TRIM28	HRAS
CCL26	HRAS
RAPGEF3	HRAS
HAX1	HRAS
ABL1	LIMK1
ABL1	MAPK7
ANGPT1	MAPK7
RHOB	MAPK7
ECT2	MAPK7
FGA	MAPK7
FGB	MAPK7
GATA2	MAPK7
GATA3	MAPK7
NR3C1	MAPK7
KDR	MAPK7
SMAD3	MAPK7
MEF2C	MAPK7
MAP3K5	MAPK7
NFE2L2	MAPK7
KLF2	MAPK7
ABL1	GATA1
CSPG4	GATA1
ETS1	GATA1
PTK2B	GATA1
FGA	GATA1
FGB	GATA1
FOXO3	GATA1
NR5A1	GATA1
SH2B3	GATA1
HAX1	GATA1
BRD8	GATA1
ABL1	TEC
ABL2	TEC
ANGPT1	TEC
BCL2	TEC
BLK	TEC
BTK	TEC
